variant,country,n,che10_pct,ctp40_pct,var95_pct,cvar95_pct,xi
Baseline,United States,61447,7.391170374046789,10.978422323528157,13.5547563545394,42.89970639824185,0.6717647928062929
Baseline,Nigeria,4685,17.239435500815247,39.511963743438926,25.007673992501246,38.09211994064764,0.08787466351724155
Excluding 2020 (pandemic),United States,49595,7.468474429944914,10.962945822102073,13.60901220258823,44.18884761847616,0.6829544300241377
Excluding 2020 (pandemic),Nigeria,4685,17.239435500815247,39.511963743438926,25.007673992501246,38.09211994064764,0.08787466351724155
US 2024 only,United States,8104,7.8147978888692,10.349399625551868,13.617674595218157,48.1764459808993,0.7496144603827992
US 2024 only,Nigeria,4685,17.239435500815247,39.511963743438926,25.007673992501246,38.09211994064764,0.08787466351724155
US 2019 only,United States,11547,7.842241218544191,11.85693792268023,13.920603701953361,43.943182355740646,0.6278619120837863
US 2019 only,Nigeria,4685,17.239435500815247,39.511963743438926,25.007673992501246,38.09211994064764,0.08787466351724155
Income floor $500,United States,61530,7.459427588637375,11.058599158612513,13.750000000000002,46.96001781584506,0.7067045193757775
Income floor $500,Nigeria,4685,17.239435500815247,39.511963743438926,25.007673992501246,38.09211994064764,0.08787466351724155
"Income floor $2,000",United States,61216,7.267657107936406,10.747809956862831,13.33163800103207,37.16454008636234,0.6150062421184167
"Income floor $2,000",Nigeria,4685,17.239435500815247,39.511963743438926,25.007673992501246,38.09211994064764,0.08787466351724155
"Income floor $5,000",United States,60527,7.024247556637815,10.184561114309638,12.900423463168986,32.6904432029129,0.5582057473634794
"Income floor $5,000",Nigeria,4685,17.239435500815247,39.511963743438926,25.007673992501246,38.09211994064764,0.08787466351724155
US income at or above the poverty line,United States,53020,6.166356683384502,3.3402355906001477,11.585744343943801,28.32442112337806,0.5496271926296918
US income at or above the poverty line,Nigeria,4685,17.239435500815247,39.511963743438926,25.007673992501246,38.09211994064764,0.08787466351724155
Nigeria: food-share floor,United States,61447,7.391170374046789,10.978422323528157,13.5547563545394,42.89970639824185,0.6717647928062929
Nigeria: food-share floor,Nigeria,4685,17.239435500815247,10.789761513516444,25.007673992501246,38.09211994064764,0.08787466351724155
Per equivalent adult,United States,61447,7.391170374046789,8.623212984876448,13.5547563545394,42.89970639824185,0.6717647928062929
Per equivalent adult,Nigeria,4685,17.239435500815247,15.503224151350217,25.007673992501246,38.09211994064764,0.08787466351724155
GPD threshold q85,United States,61447,7.391170374046789,10.978422323528157,13.5547563545394,42.89970639824185,0.6429217535614754
GPD threshold q85,Nigeria,4685,17.239435500815247,39.511963743438926,25.007673992501246,38.09211994064764,0.08148201003322836
GPD threshold q95,United States,61447,7.391170374046789,10.978422323528157,13.5547563545394,42.89970639824185,0.6695437172180789
GPD threshold q95,Nigeria,4685,17.239435500815247,39.511963743438926,25.007673992501246,38.09211994064764,0.006930425438961624
Nigeria: OOP including transport,United States,61447,7.391170374046789,10.978422323528157,13.5547563545394,42.89970639824185,0.6717647928062929
Nigeria: OOP including transport,Nigeria,4685,18.245154256141817,40.4834735830806,26.408804331469852,39.73566968670461,0.018543176966127752
Nigeria: consumption-module OOP,United States,61447,7.391170374046789,10.978422323528157,13.5547563545394,42.89970639824185,0.6717647928062929
Nigeria: consumption-module OOP,Nigeria,4685,0.14064611352069306,11.563777767924952,1.7615060110246394,4.035865704733091,0.3739486142860979
Matched net denominators,United States,61447,7.391170374046789,10.978422323528157,13.5547563545394,42.89970639824185,0.6717647928062929
Matched net denominators,Nigeria,4685,18.54269371669747,41.798341853728,33.34698642319997,76.20280789075657,0.5805482675923557
Matched gross denominators,United States,61447,6.526745622883663,9.756113106919653,11.936757899405142,23.393289409937587,0.3429420132114883
Matched gross denominators,Nigeria,4685,17.239435500815247,39.511963743438926,25.007673992501246,38.09211994064764,0.08787466351724155
